,,,,Touchdowns,Kicking,Misc,Player,Team,Gms,Pts,Tot,R,P,KR,PR,IR,FR,BK,BP,FGR,PAT,FG,2Pt,Saf
Malik WillisM. Willis,GB,3,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Emanuel WilsonE. Wilson,GB,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Garrett WilsonG. Wilson,NYJ,5,12,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Michael WilsonM. Wilson,ARI,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Mitch WishnowskyM. Wishnowsky,SF,6,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,
Xavier WorthyX. Worthy,KC,5,24,4,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Matthew WrightM. Wright,SF,1,12,0,0,0,0,0,0,0,0,0,0,3,3,0,0,,,,,,,
Cade YorkC. York,WAS,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,,,,,
Bryce YoungB. Young,CAR,3,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Greg ZuerleinG. Zuerlein,NYJ,5,27,0,0,0,0,0,0,0,0,0,0,9,6,0,0,,,,,,,
