Player,Team,Gms,Rec,Yds,Avg,YPG,Lg,TD,FD,Tar,YAC
Javonte WilliamsJ. Williams,DEN,5,17,130,7.65,26.0,26,0,3,20,138
Jameson WilliamsJ. Williams,DET,4,13,289,22.23,72.2,70t,2,8,25,156
Kyren WilliamsK. Williams,LA,5,14,71,5.07,14.2,15t,1,2,15,80
Mike WilliamsM. Williams,NYJ,5,10,145,14.50,29.0,22,0,7,14,19
Cedrick WilsonC. Wilson,NO,5,1,3,3.00,0.6,3,0,0,1,10
Emanuel WilsonE. Wilson,GB,5,5,28,5.60,5.6,30t,1,2,7,50
Garrett WilsonG. Wilson,NYJ,5,33,292,8.85,58.4,26,2,18,57,122
Jeffery WilsonJ. Wilson,MIA,4,2,12,6.00,3.0,6,0,0,2,13
Johnny WilsonJ. Wilson,PHI,4,1,9,9.00,2.2,9,0,1,6,6
Michael WilsonM. Wilson,ARI,5,19,216,11.37,43.2,34,1,10,26,47
Charlie WoernerC. Woerner,ATL,5,1,4,4.00,0.8,4,0,0,2,1
Robert WoodsR. Woods,HOU,5,3,28,9.33,5.6,13,0,1,5,25
Xavier WorthyX. Worthy,KC,5,12,179,14.92,35.8,54t,2,8,21,108
Brock WrightB. Wright,DET,4,7,49,7.00,12.2,11,0,3,8,25
Jaylen WrightJ. Wright,MIA,4,0,0,0.00,0.0,0,0,0,1,0
Dareke YoungD. Young,SEA,5,0,0,0.00,0.0,0,0,0,1,0
Olamide ZaccheausO. Zaccheaus,WAS,5,11,124,11.27,24.8,27,0,8,15,97
